epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10534,2.14778,4.94205,3.50519,2.44527,0.39926,0.61772,0.42226,0.15293,0,0,0,0,1.75645,14.6455,8.51496,2.64344,0.07624,0.00024,0.00024
2,19.5494,1.51117,2.74556,1.66455,1.72865,0.68633,0.74213,0.80685,0.39464,0.0005,0.00204,0.00015,2e-05,1.55835,22.7337,1.91984,1.9815,0.051486,0.000485957,0.000485957
3,29.6979,1.4111,2.51448,1.30444,1.63165,0.69044,0.82435,0.90816,0.4566,0.00218,0.00306,0.00067,0.0001,1.44268,9.58655,2.4849,1.97323,0.0267278,0.00072779,0.00072779
4,40.1947,1.43051,2.40309,1.32075,1.63012,0.73897,0.87228,0.91721,0.47643,0,0,0,0,1.48785,7.4681,1.48614,1.82259,0.0019655,0.000965498,0.000965498
5,50.1488,1.39958,2.24822,1.10667,1.58751,0.78614,0.90177,0.94231,0.45962,0.01274,0.01122,0.00555,0.00076,1.58738,5.70808,1.45036,1.80138,0.000967,0.000967,0.000967
6,59.5585,1.3503,2.1141,1.01711,1.54865,0.92092,0.97538,0.98441,0.57866,0.05353,0.05108,0.04469,0.01233,1.32922,4.50442,0.98396,1.59726,0.00095875,0.00095875,0.00095875
7,68.1183,1.27512,2.03528,0.923,1.50297,0.87091,0.94106,0.98694,0.57382,0.16156,0.10543,0.09031,0.02351,1.37988,3.98155,0.96752,1.62979,0.0009505,0.0009505,0.0009505
8,78.5716,1.26769,1.89255,0.90174,1.49935,0.94633,0.9877,0.98837,0.60865,0.16435,0.16322,0.14374,0.04847,1.22224,2.41099,0.87443,1.48845,0.00094225,0.00094225,0.00094225
9,88.6137,1.25032,1.82264,0.86861,1.48622,0.95538,0.98673,0.99046,0.62908,0.232,0.2398,0.18324,0.06087,1.19305,2.12817,0.77366,1.47144,0.000934,0.000934,0.000934
10,98.5674,1.22381,1.71455,0.81135,1.45377,0.93864,0.97309,0.98565,0.61432,0.21655,0.21905,0.17136,0.05071,1.26553,2.12094,0.78313,1.50465,0.00092575,0.00092575,0.00092575
